data_id,id,classe,darija_arabic,darija_arabizi,english,modern_standard_arabic,english_word_count,status
data52034,WIKI_C_04991,C,فشيتلاند كيستعملو واحد الشكل آخر ديال الراية (غراب كحل فوق مستطيل حمر) كرمز ديال أپ هيلي آ، واحد الفستيفال اللي كايحتفل بالتراث النورسي ديال الجزر.,"f shetland kist3mlo wa7d chekel akhor dyal rraya (ghrab ka7el faw9 mostatil 7mer) kرمز dyal Up@=@Hely@=@Aa, wa7d lfestifal li kay7tfl bltorath lnorci dyal ljzer.","In Shetland an alternate form of the banner ( black raven on a rectangular , red field ) is used as the symbol of Up @-@ Helly @-@ Aa , a festival that celebrates the Islands ' Norse heritage .","في شتلاند، يُستخدم شكل آخر للعلم (غراب أسود على حقل أحمر مستطيل) كرمز لمهرجان ""أب هيلي آ""، وهو احتفال بتراث الجزر النورسي.",25,GENERATED
data52035,WIKI_C_02577,C,لحكومات لفيدرالية جوج مرات قتارحات باش يتبدل لمادة 116، باش يتطبق داكشي لي فيها على لقوانين لي كيديرو لولايات. فكل مرة – ف 1944 و 1988 – داك الاقتراح ماصدقش فواحد لاستفتاء.,"l7kumamt lfederaliya joj mrat qtar7at bach ytbdal l madda 116, bach ytṭbbaq dakchi li fiha 3la l qwanin li kaydiru l wlayat. F kol marra - f 1944 w 1988 - dak l iqtira7 maṣdaqch f wa7d l istiftā'.","Federal Governments have twice proposed the amendment of Section 116 , principally to apply its provisions to laws made by the states . On each occasion — in 1944 and 1988 — the proposal failed in a referendum .",اقترحت الحكومات الفيدرالية مرتين تعديل المادة 116، وذلك أساسًا لتطبيق أحكامها على القوانين التي تصدرها الولايات. وفي كل مرة - في عامي 1944 و 1988 - فشل الاقتراح في استفتاء.,32,GENERATED
data52036,WIKI_C_06654,C,التصوير بدا ف أستراليا ف 7 دجنبر 2013، قبل ما يتنقل للمملكة المتحدة ف شهر واحد 2014. واحد الشوية ديال الفيلم تصور فواحد لبلاصة سميتها ... ف جنوب أستراليا، واحد القرية معزولة ف الصحرا ما فيها لا تيليفون لا أنترنيت.,"tstowir bda f australia f 7 dechmbre 2013, qbel ma ytnqel l'mamlaka l'mouddaa f chhar wahed 2014. wahed chwiya dyal lfilm tsowwr f wahed lbllasa smitha ... f janub australia, wahed lqarya m3zoula f ss7ra ma fiha la telyoun la internet.","Filming began in Australia on 7 December 2013 , before moving to the UK in January 2014 . Part of the film was shot in <unk> , South Australia , an isolated Outback settlement without mobile reception or Internet .",بدأ التصوير في أستراليا في 7 ديسمبر 2013، قبل الانتقال إلى المملكة المتحدة في يناير 2014. تم تصوير جزء من الفيلم في <unk>، جنوب أستراليا، وهي مستوطنة نائية في المناطق النائية تفتقر إلى استقبال الهاتف المحمول أو الإنترنت.,40,GENERATED
data52037,WIKI_C_01701,C,الصبغة اللي مبدلة اللون اللي كاينة فالرقم اللي فالظهر ديال الورقة، كاتبان تبدل من الموف للقهوي، مني كاتميل الورقة.,"essabgha lli mbaddla llon lli kayna ferrqm lli fel dher dyal lwrqa, katban tbdl men lmof l lqehwi, mni katmil lwrqa.","Colour changing ink used on the numeral located on the back of the note , that appears to change colour from purple to brown , when the note is tilted .",الحبر المتغير اللون المستخدم على الرقم الموجود في ظهر الورقة النقدية، والذي يظهر أنه يغير لونه من البنفسجي إلى البني، عند إمالة الورقة.,19,GENERATED
data52038,DATA_13051,B,المنتخب الألماني ماكانش محظوظ بزاف، خسر الفينال ديال بطولة أوروبا ضد هولندا قدام الجمهور ديالو فالدار البيضاء ففرانكفورت.,"al mountakhab al almani makanch mahdoud bzzaf, khsser lfinal dyal boutoula ouropa dd holanda qddam ljomhour dyalou fddar lbiidaa ff rankfurt.","The German national team was not so fortunate , losing the final of the European Championship to the Netherlands before a home town crowd in Frankfurt .",لم يحالف المنتخب الألماني الحظ كثيرًا، حيث خسر نهائي بطولة أوروبا أمام هولندا أمام جمهور محلي في فرانكفورت.,27,GENERATED
data52039,WIKI_C_04955,C,المرا ديال الحمالة يقدروا يوقعوا إلا كانت السلياك كاينة فالحمل، و يقدروا يكونوا مضاعفات كبار بحال طيحان الجنين، النمو ديالو يكون ناقص فالكرش، الوزن ناقص و الولادة قبل الوقت.,"lmra dyal l7mala y9deru ywe93u ila kanet seliak kayna fel 7mel, w y9deru ykunou mdaderat kbar b7al t7iyan del jenin, ennomw dyalu yekun na9es fel crach, el wazen na9es w el weldada 9bel el we9t.","Pregnancy complications can occur in case of coeliac disease as an intercurrent disease in pregnancy , with significant complications including miscarriage , intrauterine growth restriction , low <unk> and preterm birth .",يمكن أن تحدث مضاعفات الحمل في حالة الإصابة بمرض الاضطرابات الهضمية كمرض عارض أثناء الحمل، مع مضاعفات كبيرة تشمل الإجهاض، وتقييد النمو داخل الرحم، وانخفاض الوزن عند الولادة، والولادة المبكرة.,29,GENERATED
data52040,WIKI_C_11464,C,الوجود الجغرافي ديال هاد الفطر كاينة ف شمال أمريكا شمال المكسيك، و شمال إفريقيا، و أوروبا، و نيوزيلندا، و آسيا (منطقة آمور ديال روسيا، و الهند، و كوريا).,"lwjud l-jiyrafi dyal had l-fiytr kayn f shmal amrika shmal lmksik, w shmal ifriqiya, w urubba, w niyuzilanda, w asiya (minitqat amur dyal rusya, w l-hind, w korya).","The geographical distribution of the fungus includes North America north of Mexico , Northern Africa , Europe , New Zealand , and Asia ( Amur region of Russia , India , and Korea ) .",يشمل التوزيع الجغرافي للفطر أمريكا الشمالية شمال المكسيك، وشمال أفريقيا، وأوروبا، ونيوزيلندا، وآسيا (منطقة آمور في روسيا، والهند، وكوريا).,28,GENERATED
data52041,WIKI_C_01904,C,زيد عليها، هاد لپوليوم لي كتشرب حسن فالتعطية، حيت مكتحتاجش لبراري نقية وكتجي ساهلة باش تدوز على بنادم بزاف، وزيد عليها كتعطي مناعة كطول كتر من داك لپوليوم ديال الإبرة.,"zid 3liha, had lpoliom li katchreb 7ssen fta3tiya, 7it mak7tajch lbarari9iya wkatji sahel bach tdouz 3la bnadm bezzaf, wzid 3liha kat3ti مناعة kat7ol ktar men dak lpoliom dyal l'ibra.","OPV also proved to be superior in administration , eliminating the need for sterile syringes and making the vaccine more suitable for mass vaccination campaigns . OPV also provided longer lasting immunity than the Salk vaccine .",أثبت لقاح شلل الأطفال الفموي أيضًا تفوقه في الإعطاء، مما يلغي الحاجة إلى المحاقن المعقمة ويجعل اللقاح أكثر ملاءمة لحملات التطعيم الجماعي. كما وفر لقاح شلل الأطفال الفموي مناعة أطول أمدًا من لقاح سالك.,30,GENERATED
data52042,WIKI_D_08704,D,روميشا خرج من الجيش ف 2011 باش يدوز وقت كتر مع عائلتو. من بعد شد خدمة فالصناعة ديال البترول فالشمال ديال داكوتا. ف 11 فبراير 2013 خدا وسام الشرف من الرئيس باراك أوباما.,romisha khrej men l-jiche f 2011 bach idawaz waqt ktar m3a 3a2eltu. men ba3d shed khidma f-sena3a dyal l-bitrol f-shmal dyal dakota. f 11 fibrayir 2013 khda wisam sh-sheref men r-ra2is barak obama.,"Romesha left the Army in 2011 to spend more time with his family . He later took a job in the oil industry in North Dakota . On 11 February 2013 , he received the Medal of Honor from President Barack Obama .",غادر روميشا الجيش عام 2011 لقضاء المزيد من الوقت مع عائلته. حصل لاحقًا على وظيفة في صناعة النفط في شمال داكوتا. في 11 فبراير 2013، حصل على وسام الشرف من الرئيس باراك أوباما.,33,GENERATED
data52043,DATA_11196,A,تعطلي بزّاف باش تربت لكلبة,t3etli bezzaf bach trbet lklba,you are too late to to tie the dog,لقد فاتك الأوان لربط الكلب,9,PARTIALLY VALIDATED
