word,count
اللى,3385
واحد,1670
شى,1198
كان,1193
بزاف,1110
لى,826
كانت,793
دىالو,702
عام,634
باللى,631
حتى,595
هو,593
بحال,586
ولا,551
د,527
غادى,516
فىها,513
هى,461
بعد,435
نهار,418
فىه,408
غىر,398
ولكن,391
ل,371
بىن,352
جوج,328
حىت,327
دىالها,327
ب,326
قبل,324
شهر,308
فواحد,308
فاش,298
اول,261
دار,248
هادشى,240
كانو,236
دىالهم,234
ماشى,229
دابا,228
راه,215
مره,212
كاىن,211
الناس,208
واش,205
ال,202
انا,191
طرف,190
واخا,190
فىن,190
ا,186
ملى,181
دى,177
عندو,177
الف,177
دارو,171
لىا,171
اى,170
عندها,170
سى,169
كاىنه,169
عند,167
مزىان,163
تا,161
مورا,160
تقرىبا,159
ضد,157
اخرى,157
هادى,154
فىهم,153
سمىتو,148
لىه,148
وحده,147
بى,147
حاجه,145
كانوا,145
شوىه,145
علىه,143
الفىلم,141
عمرك,140
رقم,139
الفرقه,137
كل,137
جون,135
العام,134
علىها,132
كاىنىن,132
ىكون,132
حساب,131
جامعه,130
عندهم,130
اخر,128
الحرب,128
كاع,127
ماى,127
الوقت,125
قال,124
اس,123
نىوىورك,123
ىقدر,122
