data_id,id,classe,darija_arabic,darija_arabizi,english,modern_standard_arabic,english_word_count,status,similarity_score,similarity_da_en,similarity_en_msa,similarity_arabizi_da,consistency_flag,qc_notes
data52034,WIKI_C_04991,C,فشيتلاند كيستعملو واحد الشكل آخر ديال الراية (غراب كحل فوق مستطيل حمر) كرمز ديال أب هيلي آ، واحد الفستيفال اللي كايحتفل بالتراث النورسي ديال الجزر.,"f shetland kist3mlo wa7d chekel akhor dyal rraya (ghrab ka7el faw9 mostatil 7mer) kرمز dyal Up Helly Aa, wa7d lfestifal li kay7tfl bltorath lnorci dyal ljzer.","In Shetland, an alternate form of the banner (black raven on a rectangular red field) is used as the symbol of Up Helly Aa, a festival that celebrates the Islands' Norse heritage.","في شتلاند، يُستخدم شكل آخر للعلم (غراب أسود على حقل أحمر مستطيل) كرمز لمهرجان ""أب هيلي آ""، وهو احتفال بتراث الجزر النورسي.",25,GENERATED,0.264273,0.203307,0.361971,0.227543,CORRECTED,"Embedding suspicious (score=0.264; da-en=0.203, en-msa=0.362, arabizi-da=0.228); LLM consistent=False; corrected_fields=darija_arabic,darija_arabizi,english; issues=Darija Arabic: 'أپ هيلي آ' should be 'أب هيلي آ' to match the festival name in other versions.; Darija Arabizi: 'Up Hely Aa' should be 'Up Helly Aa' to match the correct festival name.; English: minor punctuation and spacing issues corrected for clarity.; notes=The main inconsistency was the spelling of the festival name 'Up Helly Aa' across the versions. Correcting these ensures semantic consistency while preserving the original intent and named entities.."
data52035,WIKI_C_02577,C,لحكومات الفيدرالية جوج مرات قتارحات باش يتبدل لمادة 116، باش يتطبق داكشي لي فيها على لقوانين لي كيديرو لولايات. فكل مرة – ف 1944 و 1988 – داك الاقتراح ماصدقش فواحد لاستفتاء.,"l7kumamt lfederaliya joj mrat qtar7at bach ytbdal l madda 116, bach ytṭbbaq dakchi li fiha 3la l qwanin li kaydiru l wlayat. F kol marra - f 1944 w 1988 - dak l iqtira7 maṣdaqch f wa7d l istiftā'.","Federal Governments have twice proposed the amendment of Section 116, principally to apply its provisions to laws made by the states. On each occasion — in 1944 and 1988 — the proposal failed in a referendum.",اقترحت الحكومات الفيدرالية مرتين تعديل المادة 116، وذلك أساسًا لتطبيق أحكامها على القوانين التي تصدرها الولايات. وفي كل مرة - في عامي 1944 و 1988 - فشل الاقتراح في استفتاء.,32,GENERATED,0.387518,0.318588,0.604494,0.239474,CORRECTED,"Embedding suspicious (score=0.388; da-en=0.319, en-msa=0.604, arabizi-da=0.239); LLM consistent=True; corrected_fields=darija_arabic; issues=none; notes=All four versions consistently convey that the federal governments proposed twice to amend Section 116 to apply its provisions to state laws, and that the proposal failed in referendums in 1944 and 1988.."
data52036,WIKI_C_06654,C,التصوير بدا ف أستراليا ف 7 دجنبر 2013، قبل ما يتنقل للمملكة المتحدة ف يناير 2014. واحد الشوية ديال الفيلم تصور فواحد لبلاصة سميتها... ف جنوب أستراليا، واحد القرية معزولة ف الصحرا ما فيها لا تيليفون لا أنترنيت.,"tstowir bda f australia f 7 dechmbre 2013, qbel ma ytnqel l'mamlaka l'mouddaa f yanayer 2014. wahed chwiya dyal lfilm tsowwr f wahed lbllasa smitha... f janub australia, wahed lqarya m3zoula f ss7ra ma fiha la telyoun la internet.","Filming began in Australia on 7 December 2013, before moving to the UK in January 2014. Part of the film was shot in South Australia, an isolated Outback settlement without mobile reception or Internet.",بدأ التصوير في أستراليا في 7 ديسمبر 2013، قبل الانتقال إلى المملكة المتحدة في يناير 2014. تم تصوير جزء من الفيلم في جنوب أستراليا، وهي مستوطنة نائية في المناطق النائية تفتقر إلى استقبال الهاتف المحمول أو الإنترنت.,40,GENERATED,0.558135,0.577256,0.721821,0.375329,CORRECTED,"Embedding suspicious (score=0.558; da-en=0.577, en-msa=0.722, arabizi-da=0.375); LLM consistent=False; corrected_fields=darija_arabic,darija_arabizi,english,modern_standard_arabic; issues=Inconsistent month for moving to the UK: Darija versions say 'شهر واحد 2014' (month one 2014) which is ambiguous, English and MSA specify 'January 2014'.; Minor punctuation issues: commas after 'في' and before 'جنوب أستراليا' in English and MSA versions are unnecessary.; English version has an extra comma after 'in' before 'South Australia'.; notes=Corrected the month of moving to the UK in Darija Arabic and Arabizi to explicitly 'يناير' (January) to match English and MSA. Removed unnecessary commas in English and MSA for better fluency and consistency.."
data52037,WIKI_C_01701,C,الصبغة اللي مبدلة اللون اللي كاينة فالرقم اللي فالظهر ديال الورقة، كاتبان تبدل من الموف للقهوي، مني كاتميل الورقة.,"essabgha lli mbaddla llon lli kayna ferrqm lli fel dher dyal lwrqa, katban tbdl men lmof l lqehwi, mni katmil lwrqa.","Colour changing ink used on the numeral located on the back of the note, that appears to change colour from purple to brown, when the note is tilted.",الحبر المتغير اللون المستخدم على الرقم الموجود في ظهر الورقة النقدية، والذي يظهر أنه يغير لونه من البنفسجي إلى البني، عند إمالة الورقة.,19,GENERATED,0.333533,0.32532,0.504217,0.171064,CONSISTENT,"Embedding suspicious (score=0.334; da-en=0.325, en-msa=0.504, arabizi-da=0.171); LLM consistent=True; corrected_fields=none; issues=none; notes=All versions consistently describe the colour changing ink on the numeral on the back of the note, changing from purple to brown when tilted.."
data52038,DATA_13051,B,المنتخب الألماني ماكانش محظوظ بزاف، خسر الفينال ديال بطولة أوروبا ضد هولندا قدام الجمهور ديالو فالدار البيضاء.,"al mountakhab al almani makanch mahdoud bzzaf, khsser lfinal dyal boutola ouropa dd holanda qddam ljomhour dyalou fddar lbiidaa.","The German national team was not so fortunate, losing the final of the European Championship to the Netherlands before a home town crowd in Casablanca.",لم يحالف المنتخب الألماني الحظ كثيرًا، حيث خسر نهائي بطولة أوروبا أمام هولندا أمام جمهور محلي في الدار البيضاء.,27,GENERATED,0.477178,0.478592,0.585535,0.367406,CORRECTED,"Embedding suspicious (score=0.477; da-en=0.479, en-msa=0.586, arabizi-da=0.367); LLM consistent=False; corrected_fields=darija_arabic,darija_arabizi,english,modern_standard_arabic; issues=Location inconsistency: Darija and English mention Frankfurt as the home city, while Darija Arabic and MSA mention Casablanca (الدار البيضاء).; notes=The main inconsistency is the location of the home crowd: Frankfurt (Germany) vs Casablanca (Morocco). Since the Darija Arabic and Arabizi versions mention Casablanca, and the MSA also mentions Casablanca, the English version and the Darija Arabic original were corrected to reflect Casablanca as the home city.."
data52039,WIKI_C_04955,C,المرا ديال الحمالة يقدروا يوقعوا إلا كانت السلياك كاينة فالحمل، و يقدروا يكونوا مضاعفات كبار بحال طيحان الجنين، النمو ديالو يكون ناقص فالكرش، الوزن ناقص و الولادة قبل الوقت.,"lmra dyal l7mala y9deru ywe93u ila kanet seliak kayna fel 7mel, w y9deru ykunou mdaderat kbar b7al t7iyan del jenin, ennomw dyalu yekun na9es fel crach, el wazen na9es w el weldada 9bel el we9t.","Pregnancy complications can occur in women with coeliac disease during pregnancy, with significant complications including miscarriage, intrauterine growth restriction, low birth weight, and preterm birth.",يمكن أن تحدث مضاعفات الحمل في حالة الإصابة بمرض الاضطرابات الهضمية لدى النساء الحوامل، مع مضاعفات كبيرة تشمل الإجهاض، وتقييد النمو داخل الرحم، وانخفاض الوزن عند الولادة، والولادة المبكرة.,29,GENERATED,0.237479,0.151728,0.326041,0.234667,CORRECTED,"Embedding suspicious (score=0.237; da-en=0.152, en-msa=0.326, arabizi-da=0.235); LLM consistent=False; corrected_fields=english,modern_standard_arabic; issues=English version omits 'women' as subjects of pregnancy complications, which is implied in other versions.; English version omits 'low birth weight' explicitly, only says 'low and preterm birth' which is ambiguous.; notes=The English version was slightly ambiguous and less explicit about the subject (pregnant women) and the low birth weight complication. The corrections add clarity and align all versions semantically.."
data52040,WIKI_C_11464,C,الوجود الجغرافي ديال هاد الفطر كاينة ف شمال أمريكا شمال المكسيك، و شمال إفريقيا، و أوروبا، و نيوزيلندا، و آسيا (منطقة آمور ديال روسيا، و الهند، و كوريا).,"lwjud l-jiyrafi dyal had l-fiytr kayn f shmal amrika shmal lmksik, w shmal ifriqiya, w urubba, w niyuzilanda, w asiya (minitqat amur dyal rusya, w l-hind, w korya).","The geographical distribution of the fungus includes North America north of Mexico, Northern Africa, Europe, New Zealand, and Asia (Amur region of Russia, India, and Korea).",يشمل التوزيع الجغرافي للفطر أمريكا الشمالية شمال المكسيك، وشمال أفريقيا، وأوروبا، ونيوزيلندا، وآسيا (منطقة آمور في روسيا، والهند، وكوريا).,28,GENERATED,0.376672,0.360949,0.45095,0.318118,CORRECTED,"Embedding suspicious (score=0.377; da-en=0.361, en-msa=0.451, arabizi-da=0.318); LLM consistent=True; corrected_fields=english; issues=none; notes=All four versions consistently describe the geographical distribution of the fungus including North America north of Mexico, Northern Africa, Europe, New Zealand, and Asia (Amur region of Russia, India, and Korea). No inconsistencies found.."
data52041,WIKI_C_01904,C,زيد عليها، هاد لپوليوم لي كتشرب حسن فالتعطية، حيت مكتحتاجش لبراري نقية وكتجي ساهلة باش تدوز على بنادم بزاف، وزيد عليها كتعطي مناعة كطول كتر من داك لپوليوم ديال الإبرة.,"zid 3liha, had lpoliom li katchreb 7ssen fta3tiya, 7it mak7tajch lbarari9iya wkatji sahel bach tdouz 3la bnadm bezzaf, wzid 3liha kat3ti مناعة kat7ol ktar men dak lpoliom dyal l'ibra.","OPV also proved to be superior in administration, eliminating the need for sterile syringes and making the vaccine more suitable for mass vaccination campaigns. OPV also provided longer lasting immunity than the Salk vaccine.",أثبت لقاح شلل الأطفال الفموي أيضًا تفوقه في الإعطاء، مما يلغي الحاجة إلى المحاقن المعقمة ويجعل اللقاح أكثر ملاءمة لحملات التطعيم الجماعي. كما وفر لقاح شلل الأطفال الفموي مناعة أطول أمدًا من لقاح سالك.,30,GENERATED,0.240021,0.105078,0.333149,0.281836,CONSISTENT,"Embedding suspicious (score=0.240; da-en=0.105, en-msa=0.333, arabizi-da=0.282); LLM consistent=True; corrected_fields=none; issues=none; notes=All four versions convey the same meaning about the oral polio vaccine (OPV) being easier to administer, not requiring sterile syringes, suitable for mass vaccination, and providing longer-lasting immunity than the injected (Salk) vaccine.."
data52042,WIKI_D_08704,D,روميشا خرج من الجيش ف 2011 باش يدوز وقت كتر مع عائلتو. من بعد شد خدمة فالصناعة ديال البترول فالشمال ديال داكوتا. ف 11 فبراير 2013 خدا وسام الشرف من الرئيس باراك أوباما.,romisha khrej men l-jiche f 2011 bach idawaz waqt ktar m3a 3a2eltu. men ba3d shed khidma f-sena3a dyal l-bitrol f-shmal dyal dakota. f 11 fibrayir 2013 khda wisam sh-sheref men r-ra2is barak obama.,"Romesha left the Army in 2011 to spend more time with his family. He later took a job in the oil industry in North Dakota. On 11 February 2013, he received the Medal of Honor from President Barack Obama.",غادر روميشا الجيش عام 2011 لقضاء المزيد من الوقت مع عائلته. حصل لاحقًا على وظيفة في صناعة النفط في شمال داكوتا. في 11 فبراير 2013، حصل على وسام الشرف من الرئيس باراك أوباما.,33,GENERATED,0.414619,0.406297,0.498431,0.339131,CONSISTENT,"Embedding suspicious (score=0.415; da-en=0.406, en-msa=0.498, arabizi-da=0.339); LLM consistent=True; corrected_fields=none; issues=none; notes=All four versions convey the same meaning accurately, including dates, locations, and named entities.."
data52043,DATA_11196,A,تعطلت بزاف باش تربط الكلبة,t3atlt bezzaf bach trbet lklba,you are too late to tie the dog,لقد فاتك الأوان لربط الكلب,9,PARTIALLY VALIDATED,0.335851,0.355164,0.405434,0.246953,CORRECTED,"Embedding suspicious (score=0.336; da-en=0.355, en-msa=0.405, arabizi-da=0.247); LLM consistent=False; corrected_fields=darija_arabic,darija_arabizi,english; issues=Darija Arabic uses 'تعطلي' which is second person feminine singular present tense 'you stop/delay', but the intended meaning is 'you are too late' (past tense).; Darija Arabizi uses 't3etli' which is inconsistent with the intended meaning; it should be 't3atlt' to mean 'you were late'.; English has a duplicated 'to' ('to to tie').; notes=Corrected Darija Arabic and Arabizi to past tense form 'تعطلت'/'t3atlt' to match the meaning 'you are too late'. Fixed English duplication of 'to'. MSA is correct.."
