data_id,id,classe,darija_arabic,darija_arabizi,english,modern_standard_arabic,english_word_count,status,qc_changed_fields,qc_notes
data73044,WIKI_C_09935,C,واحد الكروب اخور ديال الكوره كاين فباداخوز سميتو باداخوز سي اف، كيلعب ف تيرسيرا ديفيزيون - الجروب 14. و اتحاد دي باداخوز كيلعب الماتشات ديالو فالستاد نويفو فيفيرو.,"wa7ed lkroop akhor dyal lkora kayn f badajoz smito badajoz cf, kil3ab f tercera division-lgroup 14. w ud badajoz kil3ab lmatchat dyalo falstad nuevo vivero.","another football club based in badajoz is badajoz cf, a member of tercera división - group 14. ud badajoz plays its home matches at estadio nuevo vivero.",نادي كره قدم اخر في باداخوز اسمه باداخوز سي اف، يلعب في دوري التيرسيرا ديڤيزيون - المجموعه 14. ويلعب اتحاد باداخوز مبارياته في ملعب نويڤو ڤيڤيرو.,27,CLEAN,darija_arabic;darija_arabizi;english;modern_standard_arabic,"Normalized fields: darija_arabic, darija_arabizi, english, modern_standard_arabic."
data73045,DATA_13592,B,برهنا... باللي من بعد ما يتسالا المخزون ديالنا ديال البترول والفحم، الجنس البشري يقدر ياخد طاقه بلا قياس من الشعه ديال الشمس.,"brahenna... balli men ba3d ma itsala lmakhzoun dyalna dyal lbitrol o lf7em, ljins lbachari i9der yakhod taqa bla 9yas men ashshi3a dyal shshems.","we have proved... that after our stores of oil and coal are exhausted, the human race can receive unlimited power from the rays of the sun.",لقد اثبتنا... انه بعد استنفاد مخزوناتنا من النفط والفحم، يمكن للبشريه ان تحصل علي طاقه لا محدوده من اشعه الشمس.,26,CLEAN,darija_arabic;darija_arabizi;english;modern_standard_arabic,"Normalized fields: darija_arabic, darija_arabizi, english, modern_standard_arabic."
data73046,DATA_21507,B,"بيرين، برنادوت، ""اعاده الاعتبار لتيرامينس""، المجله التاريخيه الامريكيه، المجلد 9، العدد 4 (يوليو 1904)، الصفحات 649-669.","pirin, bernadot, ""i3adat l-i3tibar li-theraminis"", lmajalla ttarihiyya l amrikiyya, l-mujallad 9, l-3adad 4 (yulyuz 19o4), ssafahat 649-669.","perrin, bernadotte, ""the rehabilitation of theramenes"", the american historical review, vol. 9 no. 4 (july 1904), pp. 649–669.","بيرين، برنادوت، ""اعاده الاعتبار لتيرامينس""، المجله التاريخيه الامريكيه، المجلد 9، العدد 4 (يوليو 1904)، الصفحات 649-669.",18,FLAGGED,darija_arabic;darija_arabizi;english;modern_standard_arabic;status,"Normalized fields: darija_arabic, darija_arabizi, english, modern_standard_arabic. Cross-lingual mismatch suspected between Darija Arabic and Arabizi columns."
data73047,WIKI_C_03804,C,"مانينڭ، شاندرا، ""التبدلات اللي طرات فالمواقف ديال الناس تجاه ابراهام لينكولن وتحرير العبيد""، جورنال ديال جمعيه ابراهام لينكولن، 34 (شتا 2013)، 18 – 39.","maning, shandra, ""l-tbddlat li ttrat f-l-mawatif dyal n-nas t-tijah abraham lincoln w-t7rir l-3bid"", journal dyal jma3it abraham lincoln, 34 (chta 2o13), 18-39.","manning, chandra, ""the shifting terrain of attitudes toward abraham lincoln and emancipation"", journal of the abraham lincoln association, 34 (winter 2013), 18–39.","مانينغ، شاندرا، ""التبدلات التي حدثت في مواقف الناس تجاه ابراهام لينكولن وتحرير العبيد""، مجله جمعيه ابراهام لينكولن، 34 (شتا 2013)، 18 – 39.",22,CLEAN,darija_arabic;darija_arabizi;english;modern_standard_arabic,"Normalized fields: darija_arabic, darija_arabizi, english, modern_standard_arabic."
data73048,WIKI_D_08745,D,"فالهنديه والارديه، سميه ""سكندر"" اللي جايه من الفارسيه، كتعني واحد الموهبه شابه و طالعه. و ف اوروبا القرون الوسطي، دارو منو واحد من التسعه د الشجعان، واحد المجموعه ديال الابطال اللي كيمثلوا كاع الصفات المثاليه ديال الفروسيه.","f lhndiya w l urdia, smit ""sikandar"" lli jaia mn lfarsia, kat3ni wa7d lmwhiba chaba w tal3a. w f oropa lqurun l wstiya, daru mno wa7d mn ts3a d echuja3an, wa7d lmjmou3a dyal l btaal lli kymttlu k3a ssiifat lmitaliya dyal lfurusia.","in hindi and urdu, the name ""sikandar"", derived from persian, denotes a rising young talent. in medieval europe he was made a member of the nine worthies, a group of heroes who encapsulated all the ideal qualities of chivalry.","في الهنديه والارديه، يشير اسم ""اسكندر""، المشتق من الفارسيه، الي موهبه شابه صاعده. وفي اوروبا القرون الوسطي، اصبح عضوا في ""الابطال التسعه""، وهي مجموعه من الابطال جسدت جميع الصفات المثاليه للفروسيه.",39,CLEAN,darija_arabic;darija_arabizi;english;modern_standard_arabic,"Normalized fields: darija_arabic, darija_arabizi, english, modern_standard_arabic."
data73049,WIKI_D_06199,D,"نهار خمسطاش شهر تسعود، اللي معروف تا ب""نهار معركه بريطانيا""، دابا ولا ذكري سنويه ديال هاد المعركه فالمملكه المتحده. وفي كندا، الذكري كتكون في التالت ديال الاحد في شهر تسعود.","nhar khamstach chhar tsoud, lli ma3rouf ta b nhar ma3rakat britania, daba wala dhikra sanawiya dyal had lma3raka f l-mamlaka l-motta7ida. w f kanada, dzikra katkoun f t-talt dyal l-7add f chhar tsoud.","the 15th of september, also known as battle of britain day, is now an annual commemoration of the battle in the united kingdom. in canada, the commemoration takes place on the third sunday of september.",يعد الخامس عشر من سبتمبر، المعروف ايضا بيوم معركه بريطانيا، ذكري سنويه لهذه المعركه في المملكه المتحده. وفي كندا، تقام الذكري في الاحد الثالث من سبتمبر.,35,CLEAN,darija_arabic;darija_arabizi;english;modern_standard_arabic,"Normalized fields: darija_arabic, darija_arabizi, english, modern_standard_arabic."
data73050,WIKI_C_04316,C,جورج دبليو ترويت (1973). خطابات من بول (مكتبه جورج دبليو ترويت). ڭراند رابيدز: دار بيكر للكتاب. ISBN 0-؟؟؟-؟؟؟-1.,jorj w. trwit (1973). khotbat mn bol (maktabt jorj w. trwit). grand rapids: dar baker lilkitab. isbn 0-???-???-1.,george w. truett (1973). sermons from paul (george w. truett library). grand rapids: baker book house. isbn 0-???-???-1.,جورج دبليو ترويت (1973). خطب من بول (مكتبه جورج دبليو ترويت). غراند رابيدز: دار بيكر للكتاب. ردمك 0-؟؟؟-؟؟؟-1.,18,FLAGGED,darija_arabic;english;modern_standard_arabic;status,"Normalized fields: darija_arabic, english, modern_standard_arabic. Language mismatch: Darija Arabic field contains Latin script."
data73051,WIKI_C_02830,C,"من عام 1848 ل 1851، ويلسون كان مول الشي ومدير ديال الجورنال ديال ""بوسطن ريبابليكان""، اللي من 1841 ل 1848 كان تابع للويڭ، ومن 1848 ل 1851 كان الجورنال الرييسي ديال الحزب ديال ""فري سويل"".","mn 3am 1848 l 1851, wilson kan mol chi w mdir dyal l jornal dyal ""boston republican"", li mn 1841 l 1848 kan taba3 lil wig, w mn 1848 l 1851 kan l jornal arraisi dyal l7ezb dyal ""free soil"".","from 1848 to 1851 wilson was the owner and editor of the boston republican, which from 1841 to 1848 was a whig outlet, and from 1848 to 1851 was the main free soil party newspaper.","من عام 1848 الي عام 1851، كان ويلسون مالكا ورييس تحرير صحيفه ""بوسطن ريبابليكان""، التي كانت من عام 1841 الي عام 1848 منبرا لحزب الويغ، ومن عام 1848 الي عام 1851 الصحيفه الرييسيه لحزب التربه الحره.",35,CLEAN,darija_arabic;darija_arabizi;english;modern_standard_arabic,"Normalized fields: darija_arabic, darija_arabizi, english, modern_standard_arabic."
data73052,WIKI_D_07620,D,بارك ديال الدوله ديال بيتڭرو مسمي علي الجنرال الكونفدرالي ج. جونستون بيتڭرو، اللي كان ساكن فواحد الدار قريبه. و داير بسومرست بليس، واحد الموقع تاريخي ديال ولايه نورث كارولينا اللي فيه واحد الدار ديال الفيرمه مرممه ديال 1830 و مباني ملحقه اللي ممكن تزورهم، بما فيهم حياش العبيد اللي عاودو بناوهم.,"bark dyal ldawla dyal betghru mesmi 3la ljaneral lkonfederali j. johnston betghru, li kan sakin fwa7ed dar qriba. w dayer b somrest bles, wa7ed lmawqi3 tarihi dyal wilayet north carolina li fih wa7ed dar dyal lferma mrrmma dyal 1830 w mabani ml7a li mumkin tzourhom, bima fihom 7yach l3bid li 3awdo bnaawhom.","pettigrew state park is named for confederate general j. johnston pettigrew, who lived in a nearby home. it surrounds somerset place, a north carolina state historic site that includes a restored 1830s plantation house and outbuildings that can be toured, including reconstructed slave quarters.","تسميه متنزه بيتغرو الحكومي علي الجنرال الكونفدرالي ج. جونستون بيتغرو، الذي عاش في منزل قريب. ويحيط بالمتنزه ""سومرست بليس""، وهو موقع تاريخي لولايه نورث كارولينا يضم منزل مزرعه مرمم يعود الي ثلاثينيات القرن التاسع عشر ومبان ملحقه يمكن زيارتها، بما في ذلك اكواخ العبيد المعاد بناوها.",44,CLEAN,darija_arabic;english;modern_standard_arabic,"Normalized fields: darija_arabic, english, modern_standard_arabic."
data73053,DATA_15276,B,جامعه حكوميه اخري، جامعه اكوريري، اللي كاينه ف اكوريري ف شمال ايسلندا، حتي هي كدير بزاف ديال البحوث ف مجال الطاقه المتجدده.,"jama3a 7ukumia ukhra, jama3at akureyri, lli kayna f akureyri f shmal iceland, 7tta hiya kaddir bzzaf dial lbu7uth f majal ttaqa lmutajaddida.","another state university, the university of akureyri, located in akureyri in north iceland, is also conducting various research in the field of renewable energy.",تجري جامعه اكوريري الحكوميه الاخري، الواقعه في اكوريري بشمال ايسلندا، ابحاثا مختلفه في مجال الطاقه المتجدده ايضا.,24,CLEAN,darija_arabic;darija_arabizi;english;modern_standard_arabic,"Normalized fields: darija_arabic, darija_arabizi, english, modern_standard_arabic."
