data_id,darija_arabic,darija_arabizi,modern_standard_arabic,status,id,classe,english,english_word_count
data55034,الرحيل ديال البريطانيين سالا النشاطات العسكرية الكبيرة فالمستعمرات ديال نيو إنجلاند. واشنطن، خايف من البريطانيين يهاجمو مدينة نيويورك، مشا ف 4 أبريل مع الجيش ديالو لمنهاتن، وبدا الحملة ديال نيويورك ونيو جيرسي.,"rrahil dyal britaniyyeen sala nshatat 3askariyyeen lkibara flmosta3marat dyal new england. washington, khaayf mn britaniyyeen yhajmu mdint new york, msha f 4 abril m3a ljeesh dyalo l manhattan, ubda l7amla dyal new york w new jersey.",أنهى انسحاب البريطانيين الأنشطة العسكرية الكبرى في مستعمرات نيو إنجلاند. واشنطن، خشية أن يهاجم البريطانيون مدينة نيويورك، غادر في 4 أبريل بجيشه إلى مانهاتن، ليبدأ حملة نيويورك ونيو جيرسي.,VALIDATED,WIKI_D_06174,D,"The British departure ended major military activities in the New England colonies . Washington , fearing that the British were going to attack New York City , departed on April 4 with his army for Manhattan , beginning the New York and New Jersey campaign .",32
data55035,كان كيسحاب ليا غادي يستعرض علينا المهارات ديالو,kan kis7ab liya ghadi yste3red 3lina lmaharat dialo,ظننت أنه سيظهر مهاراته,VALIDATED,DATA_10281,A,i thought that he will show his skills,8
data55036,الحموضة ديال المعدة هي وحدة من الإفرازات الرئيسية ديالها. كتكون بالأساس من حمض الهيدروكلوريك وكتحمض داكشي اللي فالمعدة حتى كتولي نسبة الحموضة بين واحد وجوج.,l7modda dyal lma3da hi wa7da mn l frazat rayisia dyalha. katkon bil asasa mn 7amd l hydrochlorique w katkhamad dakchi li f lma3da 7ta katwali nassbat l 7modda bin wa7d w joj.,حمض المعدة هو أحد الإفرازات الرئيسية للمعدة. ويتكون بشكل أساسي من حمض الهيدروكلوريك ويُحمّض محتويات المعدة إلى درجة حموضة تتراوح بين 1 و 2.,VALIDATED,WIKI_C_05466,C,Gastric acid is one of the main secretions of the stomach . It consists mainly of hydrochloric acid and acidifies the stomach content to a pH of 1 to 2 .,25
data55037,بزاف ديال الكساوي فيهم سفنج ولا شي حاجة باش يعطيو الكاركتير الفورمة اللي بغاو (هادشي كيكون بالخصوص ف الكاركتيرات اللي كبار ولا ديال شي جنس معين).,bzaf dyal lksawiyy fihom sfanj wlla chi haja bach y3tiw lkarakter lform dyal li bghaw (hadchi kaykon blkhsus f lkaraktiratt lli kbar wlla dyal chi jins mo3ayyan).,تتضمن العديد من الأزياء حشوات خاصة أو غير ذلك لإعطاء الشخصية شكلها المرغوب (وهذا ملحوظ بشكل خاص في الشخصيات الكبيرة أو تلك التي تنتمي إلى جنس معين).,VALIDATED,WIKI_C_00848,C,Many suits include special padding or <unk> to give the character its desired shape ( this is especially present in larger characters or those of a particular gender ) .,26
data55038,المطاعم ديال فروم فيها الأرشينجل اللي كاين في شارع كينج، واللي خدا 9 على 10 في جريدة صنداي تلغراف. الأرشينجل كانت شحال هادي لونسيان آنجل وكيظنوا باللي التاريخ ديالها كيرجع حتى قبل الإصلاح البروتستانتي، وهي مصنفة من الدرجة الثانية في المباني التاريخية.,"lmatam dyal from fi l'archangel lli kayen f charia king, wlli khda 9 3la 10 f jridet sunday telegraph. l'archangel kanet sh7al hadi l'ancien angel w kaydnu bli tarikh dyalha kayrja3 hata qbel lislah l'protestant, w hiya msnfa mn drja tania f lmabani tarikhiya.",تشمل مطاعم فروم مطعم آرتشانجل في شارع كينج، والذي حصل على تقييم 9/10 في صحيفة صنداي تلغراف. كان آرتشانجل في السابق فندق آنجل إن، ويعتقد أن تاريخه يعود إلى ما قبل الإصلاح البروتستانتي، وهو مبنى مدرج من الدرجة الثانية.,VALIDATED,WIKI_D_11930,D,"Frome restaurants include the Archangel on King Street , which received a 9 / 10 rating in The Sunday Telegraph . The Archangel was formerly The Angel Inn and is believed to date back to before the Protestant Reformation , and is a Grade II listed building .",42
data55039,"أڤاتار آنݣ ( <unk> ، آن <unk> ) شخصية خيالية وهو الشخصية الرئيسية ديال المسلسل التلفزيوني المتحرك ديال نيكلوديون ""أڤاتار: ذا لاست إيربندر"" (لي تخلق من طرف مايكل دانتي ديمارتينو و براين كونيتزكو)، و دارو ليه الصوت زاك تايلر آيزن.","avatar aang ( <unk> , aan <unk> ) shakhsiya khayaliya w howa shakhsiya rayissiya dyal l'mslslt tlfzyoni l'mthrk dyal nickelodeon ""avatar: the last airbender"" (li tkhalaq mn tarf michael dante dimartino w bryan konietzko), w daro lih l'swt zach tyler eizen.","أفاتار آنغ ( <unk> ، آن <unk> ) شخصية خيالية والبطل الرئيسي للمسلسل التلفزيوني المتحرك من إنتاج نيكلوديون ""أفاتار: آخر رجل يستطيع التحكم بالعناصر"" (من ابتكار مايكل دانتي ديمارتينو وبراين كونيتزكو)، أدى صوته زاك تايلر آيزن.",VALIDATED,WIKI_D_05628,D,"Avatar Aang ( <unk> , ān <unk> ) is a fictional character and the protagonist of Nickelodeon 's animated television series Avatar : The Last Airbender ( created by Michael Dante DiMartino and Bryan Konietzko ) , voiced by Zach Tyler Eisen .",40
data55040,حيرام سيمبسون، واحد قريب بعيد ديال عائلة سيمبسون، لي ترشا بواحد الصباط جديد باش يڭول فين كاين ڤيرجيل.,"Hiram Simpson, wa7ed qrib b3id dyal 3a'ilat Simpson, li trsha bwa7ed ssebbat jdid bash ygoul fin kayn Virgil.",هيرام سيمبسون، قريب بعيد لعائلة سيمبسون تم رشـوته بزوج جديد من الأحذية للكشف عن مكان فيرجيل.,VALIDATED,DATA_22870,B,"Hiram Simpson , a distant relative of the Simpson family who was bribed with a new pair of shoes into revealing Virgil 's whereabouts .",25
data55041,المركب د التداريب د النادي كاين ف <unk> كروس، ف طريق غرانج، ڭيلينڭهام. ف 2012 النادي كان متورط ف نزاع مع المجلس المحلي، اللي ادّاعاو باللي ڭيلينڭهام مسال ليهم كثر من 30 ألف پوند ف الفاكتورة اللي ما مخلصاش ديال هاد المرفق.,"l merkeb d tdarib d n-nadi kayen f <unk> kros, f tariq greej, ġilinġam. f 2012 n-nadi kan mtwert f nzay3 m3 l-majles l-m7alli, li dda3aw bl-li ġilinġam mssal lihom kter men 30 alf pound f l-faktura li ma mkhlessash dyal had l-marfaq.",يقع ملعب تدريب النادي في <unk> كروس، في طريق غرانج، في جيلينغهام. في عام 2012، كان النادي متورطًا في نزاع مع المجلس المحلي، الذي زعم أن جيلينغهام مدين بأكثر من 30 ألف جنيه إسترليني في فواتير غير مدفوعة تتعلق بالمرفق.,VALIDATED,WIKI_D_08720,D,"The club 's training ground is <unk> Cross , in Grange Road , Gillingham . In 2012 the club was involved in a dispute with the local council , who alleged that Gillingham owed over £ 30 @,@ 000 in unpaid bills relating to the facility .",42
data55042,الإشارة لموقع الأحداث ف هونج كونج جات ف المشهد اللي الشخصيات فيه كتشرب سان ميغيل، اللي هو ماركة ديال البيرة معروفة بزاف ف ديك المدينة الكبيرة ديال شرق آسيا.,"l-ishara l-mowqi3 l-ahdath f hong kong jat f l-mshhed li sh-shkhsiat fih ketchreb san miguel, li huwa marka dyal l-bira ma3rofa bzzaf f dik l-mdina l-kbira dyal sharq asia.",يُلمح إلى أجواء هونغ كونغ بالمشهد الذي يشرب فيه الشخصيات بيرة سان ميغيل، وهي مادة أساسية ثقافية في المدينة العملاقة شرق آسيا.,VALIDATED,DATA_12861,B,The Hong Kong setting is alluded to by the scene wherein the characters are drinking San Miguel Beer a cultural staple of the East Asian megalopolis .,27
data55043,واش إلى كان ؟ هو الكتاب الثاني ديال مونرو لي تنشر، الأول ديالو كان <unk> : المجلد 0، مجموعة مختارة من رسوم xkcd لي صدرات عام 2009. مونرو صدر كتاب ثالث، سميتو شيء <unk>، في 2015.,"wash ila kan? huwa lktab t-tani dyal munro li t-nchur, l-awwel dyalu kan <unk>: l-mujallad 0, majmu3a mukhtara men rusum xkcd li sdat 3am 2009. munro sdar ktab talt, smito shay2 <unk>, f 2015.",ماذا لو؟ هو الكتاب الثاني المنشور لـ مونرو، وكان كتابه الأول <unk>: المجلد 0، وهي مجموعة منتقاة من رسوم xkcd نُشرت عام 2009. أصدر مونرو كتابًا ثالثًا، بعنوان شيء <unk>، في عام 2015.,VALIDATED,WIKI_D_11750,D,"What If ? is Munroe 's second published book , his first being <unk> : Volume 0 , a curated collection of xkcd comics released in 2009 . Munroe released a third book , titled Thing <unk> , in 2015 .",36
