word,count
اللى,386
واحد,185
كان,129
بزاف,123
د,107
شى,104
كانت,79
لى,70
دىالو,69
ولا,69
ل,65
حتى,62
باللى,61
عام,60
فىها,58
بحال,58
نهار,56
هو,55
هى,53
جوج,52
بعد,52
ولكن,52
ب,45
بىن,45
فىه,40
غادى,35
فواحد,33
شهر,33
دىالها,33
قبل,32
فاش,32
اول,32
غىر,31
دىالهم,30
كانو,30
هادشى,29
ا,27
اى,27
واخا,27
دار,26
كاىنه,25
راه,25
تقرىبا,24
عندو,24
مورا,24
دجنبر,22
كل,22
تلاته,22
دابا,22
مره,21
نىوىورك,21
ال,21
ان,21
الفىلم,20
سمىتها,20
كاىن,20
وحده,20
ىكون,19
حىت,19
دى,19
الناس,19
تكون,19
الف,19
هادى,19
كاىنىن,19
الوقت,18
كتر,18
ملى,18
سته,18
فىن,18
هما,18
ضد,17
عند,17
اس,17
ماشى,17
بى,17
سى,17
تا,17
جامعه,16
شوىه,16
لىا,16
انا,16
دارو,16
اكتوبر,16
لا,15
الطرىق,15
حاجه,15
جىمس,15
لىها,15
ىقدر,15
ذا,15
اخر,14
فوق,14
علىها,14
فىهم,14
مات,14
واللى,14
دىك,14
دولار,14
الرئىسى,14
