data_id,id,classe,darija_arabic,darija_arabizi,english,modern_standard_arabic,english_word_count,status,qc_changed_fields,qc_notes
data73044,WIKI_C_09935,C,واحد الكروب أخور ديال الكورة كاين فباداخوز سميتو باداخوز سي إف، كيلعب ف تيرسيرا ديڤيزيون - الجروب 14. و اتحاد دي باداخوز كيلعب الماتشات ديالو فالستاد نويڤو ڤيڤيرو.,"wa7ed lkroop akhor dyal lkora kayn f badajoz smito badajoz cf, kil3ab f Tercera División - lgroup 14. w UD Badajoz kil3ab lmatchat dyalo falstad Nuevo Vivero.","Another football club based in Badajoz is Badajoz CF, a member of Tercera División - Group 14. UD Badajoz plays its home matches at Estadio Nuevo Vivero.",نادي كرة قدم آخر في باداخوز اسمه باداخوز سي إف، يلعب في دوري التيرسيرا ديڤيزيون - المجموعة 14. ويلعب اتحاد باداخوز مبارياته في ملعب نويڤو ڤيڤيرو.,28,GENERATED,english;modern_standard_arabic,Corrected MSA place names and simplified phrasing to match Darija register and source meaning.
data73045,DATA_13592,B,برهنّا... باللي من بعد ما يتسالا المخزون ديالنا ديال البترول و الفحم، الجنس البشري يقدر ياخد طاقة بلا قياس من الشعة ديال الشمس.,"Brahenna... balli men ba3d ma itsala lmakhzoun dyalna dyal lbitrol o lf7em, ljins lbachari i9der yakhod taqa bla 9yas men ashshi3a dyal shshems.","We have proved... that after our stores of oil and coal are exhausted, the human race can receive unlimited power from the rays of the sun.",لقد أثبتنا... أنه بعد استنفاد مخزوناتنا من النفط والفحم، يمكن للبشرية أن تحصل على طاقة لا محدودة من أشعة الشمس.,28,GENERATED,english,All fields are correct and faithful to the source meaning.
data73046,DATA_21507,B,"بيرين، برنادوت، ""إعادة الاعتبار لتيرامينس""، المجلة التاريخية الأمريكية، المجلد 9، العدد 4 (يوليو 1904)، الصفحات 649-669.","pirin, bernadot, ""i3adat l-i3tibar li-theraminis"", lmajalla ttarihiyya l'amrikiyya, l-mujallad 9, l-3adad 4 (yulyuz 1904), ssafahat 649-669.","Perrin, Bernadotte, ""The Rehabilitation of Theramenes"", The American Historical Review, Vol. 9 No. 4 (July 1904), pp. 649–669.","بيرين، برنادوت، ""إعادة الاعتبار لتيرامينس""، المجلة التاريخية الأمريكية، المجلد 9، العدد 4 (يوليو 1904)، الصفحات 649-669.",29,GENERATED,darija_arabic;darija_arabizi;english;modern_standard_arabic,Corrected darija_arabic to remove non-Arabic character 'پ'. Adjusted darija_arabizi to better reflect Moroccan Darija Arabizi style. English and MSA are correct and faithful.
data73047,WIKI_C_03804,C,"مانينغ، شاندرا، ""التبدلات اللي طرات فالمواقف ديال الناس تجاه ابراهام لينكولن وتحرير العبيد""، جورنال ديال جمعية ابراهام لينكولن، 34 (شتاء 2013)، 18 – 39.","maning, shandra, ""l-tbddlat li ttrat f-l-mawatif dyal n-nas t-tijah abraham lincoln w-t7rir l-3bid"", journal dyal jma3it abraham lincoln, 34 (chta 2013), 18-39.","Manning, Chandra, ""The Shifting Terrain of Attitudes toward Abraham Lincoln and Emancipation"", Journal of the Abraham Lincoln Association, 34 (Winter 2013), 18–39.","مانينغ، شاندرا، ""التبدلات التي حدثت في مواقف الناس تجاه أبراهام لينكولن وتحرير العبيد""، مجلة جمعية أبراهام لينكولن، 34 (شتاء 2013)، 18 – 39.",24,GENERATED,english;modern_standard_arabic,MSA corrected to faithfully reflect the meaning of the Darija source; English and Darija fields are valid with minimal punctuation normalization.
data73048,WIKI_D_08745,D,"فالهندية و الأردية، سمية ""سكندر"" اللي جاية من الفارسية، كتعني واحد الموهبة شابة و طالعة. و ف أوروبا القرون الوسطى، دارو منو واحد من التسعة د الشجعان، واحد المجموعة ديال الأبطال اللي كيمثلوا كاع الصفات المثالية ديال الفروسية.","f lhndiya w l'urdia, smit ""sikandar"" lli jaia mn lfarsia, kat3ni wa7d lmwhiba chaba w tal3a. w f oropa lqurun l'wstiya, daru mno wa7d mn ts3a d echuja3an, wa7d lmjmou3a dyal l'btaal lli kymttlu k3a ssiifat lmitaliya dyal lfurusia.","In Hindi and Urdu, the name ""Sikandar"", derived from Persian, denotes a rising young talent. In medieval Europe he was made a member of the Nine Worthies, a group of heroes who encapsulated all the ideal qualities of chivalry.","في الهندية والأردية، يشير اسم ""إسكندر""، المشتق من الفارسية، إلى موهبة شابة صاعدة. وفي أوروبا القرون الوسطى، أصبح عضواً في ""الأبطال التسعة""، وهي مجموعة من الأبطال جسدت جميع الصفات المثالية للفروسية.",38,GENERATED,darija_arabizi;english,Corrected digit '0' to letter 'o' in darija_arabizi for 'oropa'. Other fields are valid.
data73049,WIKI_D_06199,D,"نهار خمسطاش شهر تسعود، اللي معروف تا بـ""نهار معركة بريطانيا""، دابا ولا ذكرى سنوية ديال هاد المعركة فالمملكة المتحدة. وفي كندا، الذكرى كتكون في التالت ديال الأحد في شهر تسعود.","nhar khamstach chhar tsoud, lli ma3rouf ta b 'nhar ma3rakat britania', daba wala dhikra sanawiya dyal had lma3raka f l-mamlaka l-motta7ida. w f Kanada, dzikra katkoun f t-talt dyal l-7add f chhar tsoud.","The 15th of September, also known as Battle of Britain Day, is now an annual commemoration of the battle in the United Kingdom. In Canada, the commemoration takes place on the third Sunday of September.",يُعد الخامس عشر من سبتمبر، المعروف أيضًا بيوم معركة بريطانيا، ذكرى سنوية لهذه المعركة في المملكة المتحدة. وفي كندا، تُقام الذكرى في الأحد الثالث من سبتمبر.,30,GENERATED,darija_arabizi;english;modern_standard_arabic,Corrected minor punctuation and spacing issues in darija_arabizi for consistency and clarity; all other fields are valid with minimal edits.
data73050,WIKI_C_04316,C,جورج دبليو ترويت (1973). خطابات من بول (مكتبة جورج دبليو ترويت). غراند رابيدز: دار بيكر للكتاب. ISBN 0-???-???-1.,jorj w. trwit (1973). khotbat mn bol (maktabt jorj w. trwit). grand rapids: dar baker lilkitab. isbn 0-???-???-1.,George W. Truett (1973). Sermons from Paul (George W. Truett Library). Grand Rapids: Baker Book House. ISBN 0-???-???-1.,جورج دبليو ترويت (1973). خطب من بول (مكتبة جورج دبليو ترويت). غراند رابيدز: دار بيكر للكتاب. ردمك 0-???-???-1.,24,GENERATED,darija_arabic;darija_arabizi;english;modern_standard_arabic,"Removed MT artifacts '@-@' and '<unk>' from all fields; corrected 'گراند رابيدز' to 'غراند رابيدز' in Arabic; noted that the text is a bibliographic reference, not typical Darija."
data73051,WIKI_C_02830,C,"من عام 1848 لـ 1851، ويلسون كان مول الشيء ومدير ديال الجورنال ديال ""بوسطن ريبابليكان""، اللي من 1841 لـ 1848 كان تابع للويغ، ومن 1848 لـ 1851 كان الجورنال الرئيسي ديال الحزب ديال ""فري سويل"".","mn 3am 1848 l 1851, wilson kan mol chi w mdir dyal l jornal dyal ""boston republican"", li mn 1841 l 1848 kan taba3 lil wig, w mn 1848 l 1851 kan l jornal arra'isi dyal l7ezb dyal ""free soil"".","From 1848 to 1851 Wilson was the owner and editor of the Boston Republican, which from 1841 to 1848 was a Whig outlet, and from 1848 to 1851 was the main Free Soil Party newspaper.","من عام 1848 إلى عام 1851، كان ويلسون مالكًا ورئيس تحرير صحيفة ""بوسطن ريبابليكان""، التي كانت من عام 1841 إلى عام 1848 منبرًا لحزب الويغ، ومن عام 1848 إلى عام 1851 الصحيفة الرئيسية لحزب التربة الحرة.",36,GENERATED,darija_arabic;darija_arabizi;english;modern_standard_arabic,Corrected minor typos in Darija Arabic and Arabizi fields to improve accuracy and clarity.
data73052,WIKI_D_07620,D,بارك ديال الدولة ديال بيتغرو مسمى على الجنرال الكونفدرالي ج. جونستون بيتغرو، اللي كان ساكن فواحد الدار قريبة. و داير بسومرست بليس، واحد الموقع تاريخي ديال ولاية نورث كارولينا اللي فيه واحد الدار ديال الفيرمة مرممة ديال 1830 و مباني ملحقة اللي ممكن تزورهم، بما فيهم حياش العبيد اللي عاودو بناوهم.,"bark dyal ldawla dyal betghru mesmi 3la ljaneral lkonfederali j. johnston betghru, li kan sakin fwa7ed dar qriba. w dayer b somrest bles, wa7ed lmawqi3 tarihi dyal wilayet north carolina li fih wa7ed dar dyal lferma mrrmma dyal 1830 w mabani ml7a li mumkin tzourhom, bima fihom 7yach l3bid li 3awdo bnaawhom.","Pettigrew State Park is named for Confederate General J. Johnston Pettigrew, who lived in a nearby home. It surrounds Somerset Place, a North Carolina state historic site that includes a restored 1830s plantation house and outbuildings that can be toured, including reconstructed slave quarters.","تسمية متنزه بيتغرو الحكومي على الجنرال الكونفدرالي ج. جونستون بيتغرو، الذي عاش في منزل قريب. ويحيط بالمتنزه ""سومرست بليس""، وهو موقع تاريخي لولاية نورث كارولينا يضم منزل مزرعة مرمم يعود إلى ثلاثينيات القرن التاسع عشر ومبانٍ ملحقة يمكن زيارتها، بما في ذلك أكواخ العبيد المعاد بناؤها.",52,GENERATED,darija_arabic;darija_arabizi;english,Corrected non-standard Arabic script characters in darija_arabic and standardized Arabizi transliteration to better reflect Moroccan Darija conventions.
data73053,DATA_15276,B,جامعة حكومية أخرى، جامعة أكوريري، اللي كاينة ف أكوريري ف شمال ايسلندا، حتى هي كدير بزاف ديال البحوث ف مجال الطاقة المتجددة.,"jama3a 7ukumia ukhra, jama3at Akureyri, lli kayna f Akureyri f shmal Iceland, 7tta hiya kaddir bzzaf dial lbu7uth f majal ttaqa lmutajaddida.","Another state university, the University of Akureyri, located in Akureyri in North Iceland, is also conducting various research in the field of renewable energy.",تُجري جامعة أكوريري الحكومية الأخرى، الواقعة في أكوريري بشمال أيسلندا، أبحاثًا مختلفة في مجال الطاقة المتجددة أيضاً.,26,GENERATED,english,Corrected English to remove redundant phrase for clarity.
