data_id,id,classe,darija_arabic,darija_arabizi,english,modern_standard_arabic,english_word_count,status
data52034,WIKI_C_04991,C,فشىتلاند كىستعملو واحد الشكل اخر الراىه غراب كحل فوق مستطىل حمر كرمز ا هىلى ا واحد الفستىفال اللى كاىحتفل بالتراث النورسى الجزر,shetland kist3mlo wa7d chekel akhor rraya ghrab ka7el faw9 mostatil 7mer k up wa7d lfestifal li kay7tfl bltorath lnorci ljzer,shetland alternate form banner black raven rectangular red field used symbol helly aa festival celebrates islands norse heritage,شتلاند يستخدم شكل اخر للعلم غراب اسود حقل احمر مستطيل كرمز لمهرجان هيلي احتفال بتراث الجزر النورسي,18,GENERATED
data52035,WIKI_C_02577,C,لحكومات لفىدرالىه جوج مرات قتارحات ىتبدل لماده ىتطبق داكشى لى فىها لقوانىن لى كىدىرو لولاىات فكل مره الاقتراح ماصدقش فواحد لاستفتاء,l7kumamt lfederaliya joj mrat qtar7at bach ytbdal madda bach yt bbaq dakchi li fiha qwanin li kaydiru wlayat kol marra dak iqtira7 daqch wa7d istift,federal governments twice proposed amendment section 116 principally apply provisions laws made states occasion 1944 1988 proposal failed referendum,اقترحت الحكومات الفيدرالية مرتين تعديل المادة وذلك اساسا لتطبيق احكامها القوانين تصدرها الولايات وفي عامي فشل الاقتراح استفتاء,19,GENERATED
data52036,WIKI_C_06654,C,التصوىر بدا استرالىا دجنبر قبل ىتنقل للمملكه المتحده شهر واحد الشوىه الفىلم تصور فواحد لبلاصه سمىتها جنوب استرالىا واحد القرىه معزوله الصحرا فىها لا تىلىفون لا انترنىت,tstowir bda australia dechmbre qbel ytnqel mamlaka mouddaa chhar wahed chwiya lfilm tsowwr wahed lbllasa smitha janub australia wahed lqarya m3zoula ss7ra fiha la telyoun la internet,filming began australia 7 december 2013 moving uk january 2014 part film shot south australia isolated outback settlement without mobile reception internet,بدا التصوير استراليا الانتقال المملكة المتحدة تم تصوير جزء الفيلم جنوب استراليا وهي مستوطنة نائية المناطق النائية تفتقر استقبال الهاتف المحمول الانترنت,22,GENERATED
data52037,WIKI_C_01701,C,الصبغه اللى مبدله اللون اللى كاىنه فالرقم اللى فالظهر الورقه كاتبان تبدل الموف للقهوى منى كاتمىل الورقه,essabgha lli mbaddla llon lli kayna ferrqm lli fel dher lwrqa katban tbdl lmof lqehwi mni katmil lwrqa,colour changing ink used numeral located back note appears change colour purple brown note tilted,الحبر المتغير اللون المستخدم الرقم الموجود ظهر الورقة النقدية يظهر يغير لونه البنفسجي البني امالة الورقة,15,GENERATED
data52038,DATA_13051,B,المنتخب الالمانى ماكانش محظوظ بزاف خسر الفىنال بطوله اوروبا ضد هولندا قدام الجمهور دىالو فالدار البىضاء ففرانكفورت,al mountakhab al almani makanch mahdoud bzzaf khsser lfinal boutoula ouropa dd holanda qddam ljomhour dyalou fddar lbiidaa ff rankfurt,german national team fortunate losing final european championship netherlands home town crowd frankfurt,يحالف المنتخب الالماني الحظ خسر نهائي بطولة اوروبا هولندا جمهور محلي فرانكفورت,13,GENERATED
data52039,WIKI_C_04955,C,المرا الحماله ىقدروا ىوقعوا الا كانت السلىاك كاىنه فالحمل ىقدروا ىكونوا مضاعفات كبار بحال طىحان الجنىن النمو دىالو ىكون ناقص فالكرش الوزن ناقص الولاده قبل الوقت,lmra l7mala y9deru ywe93u kanet seliak kayna fel 7mel y9deru ykunou mdaderat kbar b7al t7iyan del jenin ennomw dyalu yekun na9es fel crach el wazen na9es el weldada 9bel el we9t,pregnancy complications occur case coeliac disease intercurrent disease pregnancy significant complications including miscarriage intrauterine growth restriction low preterm birth,يمكن تحدث مضاعفات الحمل حالة الاصابة بمرض الاضطرابات الهضمية كمرض عارض اثناء الحمل مضاعفات كبيرة تشمل الاجهاض وتقييد النمو داخل الرحم وانخفاض الوزن الولادة والولادة المبكرة,19,GENERATED
data52040,WIKI_C_11464,C,الوجود الجغرافى الفطر كاىنه شمال امرىكا شمال المكسىك شمال افرىقىا اوروبا نىوزىلندا اسىا منطقه امور روسىا الهند كورىا,lwjud jiyrafi had fiytr kayn shmal amrika shmal lmksik shmal ifriqiya urubba niyuzilanda asiya minitqat amur rusya hind korya,geographical distribution fungus includes north america north mexico northern africa europe new zealand asia amur region russia india korea,يشمل التوزيع الجغرافي للفطر امريكا الشمالية المكسيك وشمال افريقيا واوروبا ونيوزيلندا واسيا منطقة امور روسيا والهند وكوريا,19,GENERATED
data52041,WIKI_C_01904,C,زىد علىها ل ولىوم لى كتشرب حسن فالتعطىه حىت مكتحتاجش لبرارى نقىه وكتجى ساهله تدوز بنادم بزاف وزىد علىها كتعطى مناعه كطول كتر ل ولىوم الابره,zid 3liha had lpoliom li katchreb 7ssen fta3tiya 7it mak7tajch lbarari9iya wkatji sahel bach tdouz bnadm bezzaf wzid 3liha kat3ti kat7ol ktar dak lpoliom ibra,opv also proved superior administration eliminating need sterile syringes making vaccine suitable mass vaccination campaigns opv also provided longer lasting immunity salk vaccine,اثبت لقاح شلل الاطفال الفموي تفوقه الاعطاء يلغي الحاجة المحاقن المعقمة ويجعل اللقاح ملاءمة لحملات التطعيم الجماعي وفر لقاح شلل الاطفال الفموي مناعة اطول امدا لقاح سالك,23,GENERATED
data52042,WIKI_D_08704,D,رومىشا خرج الجىش ىدوز وقت كتر عائلتو بعد شد خدمه فالصناعه البترول فالشمال داكوتا فبراىر خدا وسام الشرف الرئىس باراك اوباما,romisha khrej jiche bach idawaz waqt ktar 3a2eltu ba3d shed khidma sena3a bitrol shmal dakota fibrayir khda wisam sh sheref r ra2is barak obama,romesha left army 2011 spend time family later took job oil industry north dakota 11 february 2013 received medal honor president barack obama,روميشا الجيش عام لقضاء المزيد الوقت عائلته حصل لاحقا وظيفة صناعة النفط داكوتا حصل وسام الشرف الرئيس باراك اوباما,23,GENERATED
data52043,DATA_11196,A,تعطلى بزاف تربت لكلبه,t3etli bezzaf bach trbet lklba,late tie dog,لقد فاتك الاوان لربط الكلب,3,PARTIALLY VALIDATED
