"annotation_id","annotator","classe","corrected_darija_arabic","corrected_darija_arabizi","corrected_english","corrected_msa","created_at","darija_arabic","darija_arabizi","data_id","decision","english","english_word_count","final_comment","id","lead_time","modern_standard_arabic","status","updated_at"
1,"1","C","هيوم ولى معروف بملك السلمون ديال أوريغون وكان كيقول على راسو ""محتكر قزم"" ف واحد السيرة الذاتية نشرها فالراديوم بين 1904 و 1906.","hyum wlla ma3rouf b malak ssalmoun dyal oregon w kan kay9oul 3la raso ""mo7takir 9azam"" f wa7d ssira ddatiya nshrha f rradyoum bin 1904 w 1906.","Hume became known as the Salmon King of Oregon and referred to himself as a "" pygmy monopolist "" in an autobiography published in the Radium between 1904 and 1906 .","اشتهر هيوم باسم ""ملك السلمون في ولاية أوريغون"" وأشار إلى نفسه بـ ""المحتكر القزم"" في سيرة ذاتية نُشرت في ""الراديوم"" بين عامي 1904 و 1906.","2026-03-04T12:23:21.979148Z","هيوم ولا معروف بملك السلمون ديال أوريغون وكان كيقول على راسو ""مونوبوليست قزم"" فواحد السيرة الذاتية نشرها ف الراديوم بين 1904 و 1906.","hyum wla ma3rouf bmalek essalmon dyal oregon w kan kay9ol 3la raso ""monopolist 9zm"" f wa7d siira zatiya nashrha f erradium bin 1904 w 1906.","data52534","VALIDATED","Hume became known as the Salmon King of Oregon and referred to himself as a "" pygmy monopolist "" in an autobiography published in the Radium between 1904 and 1906 .",23,"Both the English and MSA versions are 100% accurate and perfectly aligned in meaning.","WIKI_C_05986",1276.42,"اشتهر هيوم باسم ""ملك السلمون في ولاية أوريغون"" وأشار إلى نفسه بـ ""المحتكر القزم"" في سيرة ذاتية نُشرت في ""الراديوم"" بين عامي 1904 و 1906.","GENERATED","2026-03-04T12:23:21.979212Z"
2,"1","A","نتحداك تصيد شي حوت جديد","nt7edak tseyyed chi 7out jdid","I dare you to catch new fish","أتحدّاك أن تصطاد سمكاً جديداً","2026-03-04T12:28:28.636327Z","نتحداك ت سيد شي حوت جديد","nt7edak t seyed chi 7out jdid","data52535","VALIDATED","I dare you to catch new fish",7,"MSA was more accurate","DATA_11631",292.693,"أتحدّاك أن تصطاد سمكاً جديداً","PARTIALLY VALIDATED","2026-03-04T12:28:28.636417Z"
3,"1","B","ما كيبانش باللي إلغاء التعيين ديال أوزوالد سكت أوزوالد، اللي كيبان نشيط فإنجلترا، واحد المملكة اللي كانت كتدعم أوربان السابع.","ma kiban-ch blli l-ilgha d l-ta3yin dial Oswald skat Oswald, li kiban nchit f-Ingiltira, wa7ed l-mamlaka li kanat kat-da3m Urban s-sabi3.","The cancellation of Oswald 's appointment does not appear to have silenced Oswald , who appears active in England , a kingdom which supported Urban VII .","لا يبدو أن إلغاء موعد أوزوالد قد أسكت أوزوالد، الذي يبدو نشطًا في إنجلترا، وهي مملكة دعمت أوربان السابع.","2026-03-04T12:31:42.593104Z","الإلغاء ديال الموعد ديال أوزوالد ما كيبانش سكت أوزوالد، اللي كيبان نشيط فإنجلترا، واحد المملكة اللي كانت كتدعم أوربان السابع.","l-ilgha dial lmou3id dial Oswald ma kiban-ch skat Oswald, li kiban nchit f-Ingiltira, wa7ed l-mamlaka li kanat kat-da3m Urban s-sabi3.","data52536","VALIDATED","The cancellation of Oswald 's appointment does not appear to have silenced Oswald , who appears active in England , a kingdom which supported Urban VII .",27,"MSA was more accurate","DATA_14769",176.482,"لا يبدو أن إلغاء موعد أوزوالد قد أسكت أوزوالد، الذي يبدو نشطًا في إنجلترا، وهي مملكة دعمت أوربان السابع.","GENERATED","2026-03-04T12:31:42.593144Z"
4,"1","D","ستيك هامبورغ — واحد الستيك ديال لحم البقر مفروم اللي كيشكلوه على شكل قرصة باش يطيب. كيشبه لستيك سالزبوري، وشهروا هاد الأكلة المهاجرين الألمان فالعالم كامل، وولات طبق معروف تقريبا مع بداية القرن تسعطاش.","steak hamburgh — wahed l-steak dyal lhem l-begher mafrum lli kiy-chekkluh 3la chekl qersa bach ytib. kiy-chebeh l-steak Salisbury, w chehru had l-akla l-muhajirin l-alman f l-3alam kamel, w welat tabaq ma3ruf taqriban m3a bidayat l-qarn tsetach.","Hamburg steak – a beefsteak that is shaped into a patty to be cooked after being minced . It is similar to the Salisbury steak . Made popular worldwide by the migrating Germans , it became a mainstream dish around the start of the nineteenth century .","شريحة هامبورغ - شريحة لحم بقر مشكلة على شكل قرص لتُطهى بعد فرمها. وهي تشبه شريحة سالزبوري. اشتهرت عالميًا بفضل الألمان المهاجرين، وأصبحت طبقًا رئيسيًا حوالي بداية القرن التاسع عشر.","2026-03-04T12:33:57.249493Z","ستيك هامبورغ—واحد ستيك ديال اللحم مفروم اللي كيشكلوه على شكل قرصة باش يطيب، و كيشبه لستيك سالزبوري. الألمان المهاجرين هما اللي شهروا هاد الأكلة فالعالم، و ولات طبق معروف بزاف تقريبا مع بداية القرن التاسع عشر.","steak hamburgh — wahed steak dyal lhem mafrum lli chekkluh 3la chekl qersa bach ytib, w kiychebhe l steak Salisbury. l'alman lmuhajrin huma lli shheru had l'akla f l'alam, w welat tabaq ma3ruf bzaf taqriban m3a bidaya l qarn tasi3 3achr.","data52537","VALIDATED","Hamburg steak – a beefsteak that is shaped into a patty to be cooked after being minced . It is similar to the Salisbury steak . Made popular worldwide by the migrating Germans , it became a mainstream dish around the start of the nineteenth century .",36,"MSA was more accurate","WIKI_D_11085",129.936,"شريحة هامبورغ - شريحة لحم بقر مشكلة على شكل قرص لتُطهى بعد فرمها. وهي تشبه شريحة سالزبوري. اشتهرت عالميًا بفضل الألمان المهاجرين، وأصبحت طبقًا رئيسيًا حوالي بداية القرن التاسع عشر.","GENERATED","2026-03-04T12:33:57.249533Z"
5,"1","D","بزاف ديال التسجيلات ديال ""وايت سترايبس"" كملو بالزربة. مثلا، ألبوم ""إيليفنت"" تسجل تقريبا فجوج سيمانات فاستوديو ""تو راݣ"" ف لندن. وحتى الألبوم اللي تبعو فـ 2005، ""ݣيت بيهايند مي سيتن""، حتى هو تسجل فظرف جوج سيمانات فقط.","bzzaf dyal t-tsjilat dyal ""White Stripes"" kmlu b-zrba. mtlan, album ""Elephant"" t-sajel taqriban f-jouj simanat f-studio ""Toe Rag"" f-London. w-7ta l-album lli tb3u f-2005, ""Get Behind Me Satan"", 7ta huwa t-sajel f-dorf jouj simanat faqat.","Several White Stripes recordings were completed rapidly . For example , Elephant was recorded in about two weeks in London 's Toe Rag Studio . Their 2005 follow @-@ up , Get Behind Me Satan , was likewise recorded in just two weeks .","أُنجزت العديد من تسجيلات وايت سترايبس بسرعة. على سبيل المثال، سُجِّل ألبوم ""إيليفنت"" في حوالي أسبوعين في استوديو ""تو راغ"" في لندن. كما سُجِّل ألبومهم التالي في عام 2005، ""ݣيت بيهايند مي سيتن""، في أسبوعين فقط.","2026-03-04T12:36:53.778412Z","شحال من تسجيل ديال ذا وايت سترايبس تكملو بالزربة. مثلا، إيليفنت تسجل تقريبا فسيمانتين فتو راݣ ستوديو ف لندن. و حتى الألبوم لي تبعوه ف 2005، ݣيت بيهايند مي سيتن، تسجل حتى هو فسيمانتين.","sh7al mn t تسجيل dyal the white stripes tkmlu b zrba. mtlan, elephant tsgl ta9riban f simantyn f toe rag studio f london. w 7ta l album li tbcuh f 2005, get behind me satan, tsgl 7ta howa f simantyn.","data52538","VALIDATED","Several White Stripes recordings were completed rapidly . For example , Elephant was recorded in about two weeks in London 's Toe Rag Studio . Their 2005 follow @-@ up , Get Behind Me Satan , was likewise recorded in just two weeks .",34,"English was more accurate","WIKI_D_11600",163.685,"أُنجزت العديد من تسجيلات وايت سترايبس بسرعة. على سبيل المثال، سُجِّل ألبوم ""إيليفنت"" في حوالي أسبوعين في استوديو ""تو راغ"" في لندن. كما سُجِّل ألبومهم التالي في عام 2005، ""ݣيت بيهايند مي سيتن""، في أسبوعين فقط.","GENERATED","2026-03-04T12:36:53.778450Z"
6,"1","D","البابا سيليستين الثالث عيَّن سيمون قاضي بابوي مندوب، و سيمون خدم والتر حتى هو ف روما ف جوج قضايا قانونية. ف 1202، فاش كان والتر ف القارة، سيمون تسمَّا مدير ديال أبرشية كانتربري ف غياب رئيس الأساقفة.","l-baba Celestine t-talt 3ayyn Simon qadi babwi mandub, w Simon khdem Walter hta huwa f Roma f-jouj qdaya qanuniyya. f-1202, fach kan Walter f-l-qara, Simon tsamma moudir dyal abrashiyat Canterbury f-ghiyab rais l-asaqifa.","Pope Celestine III appointed Simon as a papal judge @-@ delegate , and Simon also served Walter in Rome on two legal cases . In 1202 , while Walter was on the continent , Simon was named as administrator of the diocese of Canterbury during the archbishop 's absence .","عيّن البابا سلستين الثالث سيمون قاضيًا بابويًا مندوبًا، كما خدم سيمون والتر في روما في قضيتين قانونيتين. في عام 1202، بينما كان والتر في القارة، سُمّي سيمون مديرًا لأسقفية كانتربري في غياب رئيس الأساقفة.","2026-03-04T12:39:27.152874Z","البابا سيليستين التالت عيَّن سيمون قاضي بابوي مندوب @-@، و سيمون خدم والتر حتى هو ف رُوما ف جوج قضايا قانونية. ف 1202، فاش كان والتر ف القارة، سيمون تسمَّا كمسير ديال الأبرشية ديال كانتربري ف غياب ديال رئيس الأساقفة.","l'baba silyistin talt 3ayyn simon qadi babwi mandub @-@, w simon khddm walter hta howa froma f joj qdaya qanuniyya. f 1202, fash kan walter f lqara, simon tsamma kamsir dyal l'brshiya dyal kantabri f ghyab dyal rais l'asqafa.","data52539","VALIDATED","Pope Celestine III appointed Simon as a papal judge @-@ delegate , and Simon also served Walter in Rome on two legal cases . In 1202 , while Walter was on the continent , Simon was named as administrator of the diocese of Canterbury during the archbishop 's absence .",40,"MSA was accurate than English","WIKI_D_03113",149.081,"عيّن البابا سلستين الثالث سيمون قاضيًا بابويًا مندوبًا، كما خدم سيمون والتر في روما في قضيتين قانونيتين. في عام 1202، بينما كان والتر في القارة، سُمّي سيمون مديرًا لأسقفية كانتربري في غياب رئيس الأساقفة.","GENERATED","2026-03-04T12:39:27.152915Z"
7,"1","C","بحال شي قضيب ديال الحديد سخون دخلتيه فأنبوب عامر بالزنجلان كيحرقو، هكداك بزاف ديال الكائنات كتموت فالعلاقة الجنسية.","bhal chi qdib dyal l-7did skhoun dkhltih f-anboub 3amr b-zanjlan kiy-7erqu, hkdak bzzaf dyal l-kainat kat-moute f-l-3alaqa l-jinsiya.","Just as a hot rod of iron inserted into a tube filled with sesame seeds burns them up , in the same way , many beings get killed during sexual intercourse","وكما أن قضيبًا ساخنًا من الحديد يُدخل في أنبوب مملوء ببذور السمسم فيحرقها، كذلك يموت العديد من الكائنات أثناء ممارسة الجنس.","2026-03-04T12:42:28.792910Z","بحال شي حديدة سخونة دخلتيها ف شي قصبة عامرة بالزنجلان كتحرقو، هاكاك بنادم كيموت ف العلاقة الجنسية.","bhal chi 7dida skhona d5eltiha f chi qasba 3amra b zanjlan kat7ra9o, hakak bnadm kimoot f l3ala9a jinsiya.","data52540","VALIDATED","Just as a hot rod of iron inserted into a tube filled with sesame seeds burns them up , in the same way , many beings get killed during sexual intercourse",17,"MSA was more accurate than english","WIKI_C_07425",168.249,"وكما أن قضيبًا ساخنًا من الحديد يُدخل في أنبوب مملوء ببذور السمسم فيحرقها، كذلك يموت العديد من الكائنات أثناء ممارسة الجنس.","GENERATED","2026-03-04T12:42:28.792959Z"
8,"1","B","المجموعات العرقية، بحال مطار مينانغكابو الدولي فـ بادانغ، إندونيسيا، اللي مسمي على سمية سكان المنطقة ""مينانغكابو"".","l-mjmou3at l-3irqiya, b7al mTar Minangkabau d-douwali f-Padang, Indonesia, lli msmi 3la smit soukkan l-manTiqa Minangkabau.","Ethnic groups , such as Minangkabau International Airport in Padang , Indonesia , named after the local Minangkabau people .","المجموعات العرقية، مثل مطار مينانجكاباو الدولي في بادانج، إندونيسيا، الذي سُمي على اسم شعب مينانجكاباو المحلي.","2026-03-04T12:45:09.750880Z","مجموعات عرقية، بحال مطار مينانغكابو الدولي فبادانغ، إندونيسيا، اللي مسمي على سمية السكان المحليين مينانغكابو.","mjmou3at 3irqia, b7al mTar Minangkabou d-douwali f Badang, Indonesia, lli msmi 3la smit soukkan l-ma7aliyyin Minangkabou.","data52541","VALIDATED","Ethnic groups , such as Minangkabau International Airport in Padang , Indonesia , named after the local Minangkabau people .",20,"English was more accurate than MSA","DATA_17614",111.113,"المجموعات العرقية، مثل مطار مينانجكاباو الدولي في بادانج، إندونيسيا، الذي سُمي على اسم شعب مينانجكاباو المحلي.","GENERATED","2026-03-04T12:45:09.750924Z"
9,"1","D","فـ 12 دجنبر 1963، طيارة ""فولكان B.1A"" ديال السرب رقم 50 تحطمت فواحد التمرين فـ سكوتلندا. كانت طايرة على علو ما كيقلش على 1000 قدم (300 متر) فوق الأرض، واصطدمت بالأرض وهي طالعة شوية، والسبب غالبا كان ضعف الرؤية.","f-12 djanbir 1963, tayarat ""Vulcan B.1A"" dyal l-serb raqm 50 t-7etmat f-wa7ed t-tamrin f-Scotland. kanat tayra 3la 3ulu ma-kiy-qel-ch 3la 1000 qdam (300 m) foq l-ard, w-tsadmat m3a l-ard w-hiya tal3a chwiya, w-s-sabab ghaliban kan d3of r-rou'ya.","On 12 December 1963 , Vulcan B.1A <unk> of No. 50 Squadron crashed during an exercise in Scotland . Flying no less than 1 @,@ 000 ft ( 300 m ) above ground , <unk> struck the ground while climbing slightly , the cause was likely poor visibility .","في 12 ديسمبر 1963، تحطمت طائرة فولكان بي.1 إيه من السرب رقم 50 أثناء تدريب في اسكتلندا. كانت تحلق على ارتفاع لا يقل عن 1000 قدم (300 متر) فوق سطح الأرض، واصطدمت بالأرض أثناء صعود طفيف، وكان السبب على الأرجح ضعف الرؤية.","2026-03-04T12:49:38.150996Z","ف 12 دجنبر 1963، فولكان بي.1 إي ديال السرب رقم 50 طاحت فواحد التمرين فسكوتلندا. كانت طايرة ما بين 1000 قدم (300 متر) الفوق من الأرض، وطاحت فالأرض وهي طالعة شوية، والسبب غالبا كان ضعف الرؤية.","f 12 dcnbr 1963, vulcan b.1a dyal l'srb raqm 50 ta7t f wa7d ttryn f skotland. kanat tayra ma bin 1000 qdm (300 m) lfoq mn l'ard, wta7t fl'ard wahiya tali3a chwiya, wsabeb ghalban kan d3f rr'ya.","data52542","VALIDATED","On 12 December 1963 , Vulcan B.1A <unk> of No. 50 Squadron crashed during an exercise in Scotland . Flying no less than 1 @,@ 000 ft ( 300 m ) above ground , <unk> struck the ground while climbing slightly , the cause was likely poor visibility .",36,"English was more accurate than MSA","WIKI_D_05269",254.315,"في 12 ديسمبر 1963، تحطمت طائرة فولكان بي.1 إيه من السرب رقم 50 أثناء تدريب في اسكتلندا. كانت تحلق على ارتفاع لا يقل عن 1000 قدم (300 متر) فوق سطح الأرض، واصطدمت بالأرض أثناء صعود طفيف، وكان السبب على الأرجح ضعف الرؤية.","GENERATED","2026-03-04T12:49:38.151030Z"
10,"1","D","دوݣيت ما كيبانش، ولا كيتذكر، ففيلم ""إكس فايلز"" اللي دار فـ 2008. وبنفس الطريقة، ما بانش وما تذكرش فـ النسخة الجديدة ديال ""إكس فايلز"" فالتلفزة فـ 2016.","Doggett ma-kiban-ch, wala kiyet-dkker, f-film dyal X-Files lli dar f-2008. w-b-nefs l-tariqa, ma-ban-ch w-ma-t-dkker-ch f-l-revival dyal The X-Files f-television f-2016.","Doggett does not appear , nor is he mentioned , in the 2008 X @-@ Files feature film . He similarly does not appear , nor does he receive a mention , in the 2016 television revival of The X @-@ Files .","لا يظهر دوغيت، ولا يُذكر، في الفيلم الروائي الطويل ""ملفات إكس"" لعام 2008. وبالمثل، لا يظهر، ولا يُذكر، في المسلسل التلفزيوني ""ملفات إكس"" لعام 2016.","2026-03-04T12:54:20.950811Z","Doggett mabayanch, wla madwiwch 3lih, f film dyal X-Files li dar f 2008. Bhal bhal, mabayanch wla madwiwch 3lih f l'revival dyal The X-Files f television f 2016.","doggett mabayanch, wla madwiwch 3lih, f film dyal X-Files li dar f 2008. Bhal bhal, mabayanch wla madwiwch 3lih f l'revival dyal The X-Files f television f 2016.","data52543","VALIDATED","Doggett does not appear , nor is he mentioned , in the 2008 X @-@ Files feature film . He similarly does not appear , nor does he receive a mention , in the 2016 television revival of The X @-@ Files .",28,"MSA was more accurate than english","WIKI_D_04374",277.808,"لا يظهر دوغيت، ولا يُذكر، في الفيلم الروائي الطويل ""ملفات إكس"" لعام 2008. وبالمثل، لا يظهر، ولا يُذكر، في المسلسل التلفزيوني ""ملفات إكس"" لعام 2016.","GENERATED","2026-03-04T12:54:20.950844Z"
